Province,Time,Temperature,Temp_Max,Temp_Min,Precipitation,Windspeed_Max,UV_Index_Max,Sunshine_Hours,Sundown_Hours,Weather_Code,Humidity,Feel_Like
An Giang,2025-05-15T18:00,29.9,33.3,26.1,0.6,11.2,8.7,9.95,12,80,78,36.2
An Giang,2025-05-15T21:00,27.9,33.3,26.1,0.0,11.2,8.7,9.95,12,3,90,34.9
An Giang,2025-05-16T00:00,27.0,35.0,26.1,0.0,11.8,7.95,11.0,12,3,94,34.0
An Giang,2025-05-16T03:00,26.7,35.0,26.1,0.0,11.8,7.95,11.0,12,3,95,33.8
An Giang,2025-05-16T06:00,26.1,35.0,26.1,0.0,11.8,7.95,11.0,12,45,97,33.0
An Giang,2025-05-16T09:00,29.9,35.0,26.1,0.0,11.8,7.95,11.0,12,3,77,36.1
An Giang,2025-05-16T12:00,33.5,35.0,26.1,0.0,11.8,7.95,11.0,12,3,58,40.1
An Giang,2025-05-16T15:00,34.5,35.0,26.1,0.1,11.8,7.95,11.0,12,2,53,39.6
An Giang,2025-05-16T18:00,30.2,35.0,26.1,0.5,11.8,7.95,11.0,12,80,73,35.1
An Giang,2025-05-16T21:00,27.8,35.0,26.1,0.0,11.8,7.95,11.0,12,3,87,34.3
Bạc Liêu,2025-05-14T00:00,27.5,33.1,26.4,0.0,17.4,8.95,11.0,12,3,88,33.8
Bạc Liêu,2025-05-14T03:00,26.8,33.1,26.4,0.0,17.4,8.95,11.0,12,3,91,33.2
Bạc Liêu,2025-05-14T06:00,26.4,33.1,26.4,0.0,17.4,8.95,11.0,12,1,93,32.6
Bạc Liêu,2025-05-14T09:00,30.8,33.1,26.4,0.0,17.4,8.95,11.0,12,3,70,35.7
Bạc Liêu,2025-05-14T12:00,32.5,33.1,26.4,0.0,17.4,8.95,11.0,12,2,63,38.4
Bạc Liêu,2025-05-14T15:00,32.3,33.1,26.4,0.0,17.4,8.95,11.0,12,2,64,36.7
Bạc Liêu,2025-05-14T18:00,29.7,33.1,26.4,0.0,17.4,8.95,11.0,12,2,76,34.7
Bạc Liêu,2025-05-14T21:00,28.4,33.1,26.4,0.0,17.4,8.95,11.0,12,3,85,34.5
Bạc Liêu,2025-05-15T00:00,27.8,32.6,26.7,0.0,16.6,8.9,10.85,12,3,89,34.6
Bạc Liêu,2025-05-15T03:00,27.1,32.6,26.7,0.0,16.6,8.9,10.85,12,3,92,33.9
Bạc Liêu,2025-05-15T06:00,26.7,32.6,26.7,0.0,16.6,8.9,10.85,12,3,95,33.2
Bạc Liêu,2025-05-15T09:00,30.3,32.6,26.7,0.0,16.6,8.9,10.85,12,2,72,34.8
Bạc Liêu,2025-05-15T12:00,32.2,32.6,26.7,0.2,16.6,8.9,10.85,12,80,65,37.7
Bạc Liêu,2025-05-15T15:00,31.8,32.6,26.7,0.0,16.6,8.9,10.85,12,3,65,35.9
Bạc Liêu,2025-05-15T18:00,29.8,32.6,26.7,0.0,16.6,8.9,10.85,12,1,74,34.5
Bạc Liêu,2025-05-15T21:00,28.3,32.6,26.7,0.0,16.6,8.9,10.85,12,3,85,34.4
Bạc Liêu,2025-05-16T00:00,27.5,32.9,26.5,0.0,15.9,8.8,11.0,12,3,90,34.4
Bạc Liêu,2025-05-16T03:00,26.8,32.9,26.5,0.0,15.9,8.8,11.0,12,3,93,33.7
Bạc Liêu,2025-05-16T06:00,26.5,32.9,26.5,0.0,15.9,8.8,11.0,12,3,95,33.2
Bạc Liêu,2025-05-16T09:00,30.7,32.9,26.5,0.0,15.9,8.8,11.0,12,2,71,36.0
Bạc Liêu,2025-05-16T12:00,32.9,32.9,26.5,0.0,15.9,8.8,11.0,12,2,60,37.8
Bạc Liêu,2025-05-16T15:00,32.5,32.9,26.5,0.1,15.9,8.8,11.0,12,2,64,37.5
Bạc Liêu,2025-05-16T18:00,29.8,32.9,26.5,0.0,15.9,8.8,11.0,12,2,76,34.8
